address,f1_contract_creation_time,f2_transaction_fee_spent_contract_creation,f3_percentage_gas_used_contract_creation,f4_gas_price_contract_creation,f5_first_contract_invoke_time,f6_last_contract_invoke_time,f7_active_duration,f8_total_invocations,f9_total_unique_invocations,f10_avg_gas_used_contract_invocations,f11_total_gas_price_contract_invocations,f12_avg_gas_price_contract_invocations,f13_total_tx_fee_contract_invocations,f14_avg_tx_fee_contract_invocations,f15_total_ether_contract_invocations,f16_average_ether_contract_invocations,f17_total_gas_used_contract_invocations,f18_avg_gas_used_contract_invocations,class
0x06c048c2afb355b22b76d73b4ec244a862e7e260,1535568931,4000000,6.970175000000001,2556000000,1545103751,1641301794,96198043,141,2,35055.0,16256477126896,115294164020.0,14250000,101063.0,0,0,4942768,35055.0,1
0x07faacbe52a8b5d3d22f49206bdd9d9c1f71991d,1519062964,1338195,100.0,2000000000,1519328580,1529613644,10285064,7,5,42668.0,64000000000,9142857142.0,1333914,190559.0,86235000000000000,12319285714285714,298677,42668.0,1
0x0913e0169f5129185c3934920d3cf6e5f56bd3be,1600504340,1438758,100.0,129000000000,1600578261,1601133232,554971,72,16,60990.0,14560727532981,202232326846.0,11125184,154516.0,0,0,4391308,60990.0,1
0x093fad33c3ff3534428fd18126235e1e44fa0d19,1607561733,320435,100.0,37000000000,1610634314,1614865402,4231088,61,2,66590.0,4746781140336,77816084267.0,8069854,132292.0,0,0,4061993,66590.0,1
0x096e0a00d6d18f68f6e3e88e3101bdd030252230,1604457741,628983,100.0,30000000000,1604457774,1620412563,15954789,146,50,42148.0,5564152524112,38110633726.0,7525822,51546.0,181000000000000000,1239726027397260,6153612,42148.0,1
0x09cc69f6b484cada8e152d2002adfca496d723f3,1520115414,1338387,100.0,1000000000,1520267343,1531087570,10820227,5,4,46449.0,31000000000,6200000000.0,1053914,210782.0,0,0,232247,46449.0,1
0x0Da4eB121142879Db7cB4bCA6693c94154D07339,1517045146,175000,92.36628571428572,2746582000,1519073988,1545804958,26730970,28,14,30590.0,647468635431,23123879836.0,1436764,51313.0,34090266520000000000,1217509518571428571,856530,30590.0,1
0x0a4a2413d7c604647c7788fd3564b3c54fe06763,1505048633,3000000,98.83143333333334,4000000000,1505389599,1513559936,8170337,34,15,958293.0,84100000000,2473529411.0,39000000,1147058.0,1450000000000000000,42647058823529411,32581974,958293.0,1
0x0a5723d1bc889d8f755eb36fcd60483cc8bcf203,1547772412,280000,99.8325,21000000000,1547985078,1562862552,14877474,23,2,30000.0,423000000000,18391304347.0,2070000,90000.0,0,0,690005,30000.0,1
0x0aabebdabc7640410af5d901d4e460f174a4c946,1623901514,1319228,100.0,15000000000,1623902033,1638537261,14635228,73,2,228560.0,8560515626357,117267337347.0,26181632,358652.0,0,0,16684923,228560.0,1
